user_id,birthyear,sex
1,1976,female
2,1985,male
3,1980,female
4,1975,male
5,1980,male
6,1942,female
7,1954,male
8,1968,male
9,1972,male
10,1978,female
11,1971,male
12,1969,female
13,1978,male
14,1979,female
15,1969,female
16,1964,male
17,1981,female
18,1983,male
19,1980,female
20,1964,male
21,1945,male
22,1973,male
23,1985,female
24,1982,female
25,1968,male
26,1954,female
27,1965,female
29,1978,female
30,1985,female
31,1974,male
32,1984,male
33,1954,female
34,1975,female
35,1985,female
36,1985,female
37,1986,female
38,1985,female
39,1981,female
40,1986,female
41,1984,female
42,1985,female
43,1980,female
44,1986,female
45,1991,female
46,1986,female
47,1986,female
48,1986,female
49,1986,female
50,1985,female
51,1985,female
52,1986,female
53,1985,male
54,1985,male
55,1985,male
56,1984,female
57,1980,female
58,1985,male
59,1984,female
60,1985,female
61,1985,male
62,1986,female
63,1985,female
64,1978,female
65,1986,female
66,1981,female
67,1986,female
68,1985,female
69,1967,female
70,1986,female
71,1986,female
72,1986,female
74,1986,female
75,1986,female
77,1985,female
78,1959,female
79,1968,female
80,1985,female
81,1985,female
82,1956,female
83,1985,male
84,1984,male
85,1985,female
86,1985,female
87,1985,male
88,1985,female
89,1985,male
90,1984,female
91,1986,female
92,1985,female
93,1984,female
94,1985,male
95,1985,female
96,1986,female
97,1985,female
98,1985,female
99,1985,female
100,1985,female
101,1986,female
102,1984,female
103,1984,female
105,1986,female
106,1984,female
107,1986,female
108,1985,male
109,1986,female
110,1941,male
111,1984,male
112,1985,female
113,1985,female
114,1985,female
115,1986,female
116,1985,female
117,1978,female
118,1985,female
119,1982,female
120,1985,female
121,1985,female
122,1984,female
123,1986,female
124,1986,female
125,1986,female
128,1985,female
129,1947,male
130,1984,female
131,1984,female
132,1985,female
133,1984,male
134,1985,female
135,1984,female
136,1985,female
137,1985,female
138,1986,female
139,1984,female
140,1985,male
141,1984,female
142,1985,female
143,1985,female
144,1985,female
145,1985,male
146,1985,male
147,1985,female
148,1985,female
149,1985,female
150,1986,female
151,1970,female
152,1984,female
153,1985,female
154,1986,male
155,1985,female
156,1968,female
157,1980,male
158,1984,female
159,1980,male
160,1984,female
161,1984,female
162,1985,female
163,1984,female
164,1985,female
165,1984,female
166,1986,female
167,1982,female
168,1985,female
169,1987,female
170,1986,female
171,1985,female
172,1985,male
173,1980,male
174,1986,female
175,1985,female
176,1986,male
177,1985,female
178,1985,male
179,1986,male
180,1979,female
181,1983,female
182,1985,female
183,1985,female
184,1980,male
185,1984,female
186,1986,female
187,1985,female
188,1983,female
189,1983,female
190,1982,male
191,1971,female
192,1985,female
193,1982,female
194,1963,female
195,1976,female
196,1986,female
197,1986,female
198,1986,female
199,1984,female
200,1983,female
201,1985,female
202,1983,male
203,1986,female
401,1966,female
205,1986,male
206,1983,female
207,1983,female
208,1986,male
209,1985,female
