user_id,date,Ag,Co,Ex,Ne,Op
0,2006-03-23,1.8333333333333333,2.7,2.7777777777777777,1.8571428571428572,2.857142857142857
1,2006-02-08,2.5714285714285716,3,2.6666666666666665,2.25,4.285714285714286
2,2005-10-24,2.7142857142857144,2.8,2.5555555555555554,2.5,3.857142857142857
5,2005-12-07,1.7142857142857142,3.4,3.888888888888889,2.375,4.142857142857143
8,2006-07-27,3.2857142857142856,4.1,2.5555555555555554,1,5.571428571428571
108,2006-02-28,4.285714285714286,3.9,3.2222222222222223,1.375,3.7142857142857144
233,2006-11-08,4.714285714285714,3.4444444444444446,3.6666666666666665,3.5,4
298,2005-11-08,4.285714285714286,2.9,2.3333333333333335,3.875,1.7142857142857142
426,2006-09-05,2.5714285714285716,4.1,5.555555555555555,0.125,3.2857142857142856
436,2006-05-31,3.7142857142857144,2.5,2.6666666666666665,3.375,3.4285714285714284
685,2006-05-04,3.857142857142857,3.5,2.888888888888889,3.5,3.4285714285714284
807,2006-02-27,2,3.1,1.7777777777777777,4.875,4.285714285714286
871,2007-05-16,3.142857142857143,3,3.4444444444444446,2.125,4.285714285714286
881,2007-04-28,4.285714285714286,3.7,2.5555555555555554,1.625,4.714285714285714
948,2006-05-13,3.2857142857142856,4.1,1,3.5,5.714285714285714
1023,2005-11-08,5.285714285714286,2.4,4,2.875,4.142857142857143
1052,2005-11-02,4.571428571428571,4.222222222222222,5.25,1.625,3.857142857142857
1197,2005-11-08,4.857142857142857,4.5,2.6666666666666665,4.125,3.2857142857142856
1297,2006-11-22,5.285714285714286,4.8,2.2222222222222223,1.625,2.7142857142857144
1556,2005-12-17,4.571428571428571,2.1,2.4444444444444446,2.625,5.428571428571429
1895,2007-11-26,3.2857142857142856,3,2,5,4.571428571428571
2098,2006-02-16,4.857142857142857,3.5,5.555555555555555,0.75,5.142857142857143
2297,2006-02-27,4.285714285714286,3.9,4.777777777777778,3.25,4
2317,2006-04-08,NaN,4.666666666666667,0.5,NaN,NaN
2381,2005-12-11,5.142857142857143,4.5,3.3333333333333335,1.625,4.428571428571429
2415,2006-08-16,3,2.9,3.2222222222222223,2.625,5.714285714285714
2643,2005-11-30,3.5714285714285716,2.8,6,2.5,5.142857142857143
2675,2005-11-29,1.5714285714285714,5.2,1.3333333333333333,3.125,3.142857142857143
2760,2006-03-01,4.714285714285714,4.4,2.4444444444444446,1.625,5.428571428571429
3181,2005-10-27,4.571428571428571,2.2,3.111111111111111,4,4.428571428571429
3230,2005-11-09,4,4.2,4,1.75,3.142857142857143
3241,2005-10-31,4.714285714285714,2.8,2,3,5.428571428571429
3262,2005-11-04,4.142857142857143,3.6,3.2222222222222223,2.5,5.142857142857143
3267,2005-11-12,5,4.5,4.888888888888889,1.625,5.428571428571429
3301,2008-03-25,4.428571428571429,2.7,4.222222222222222,2.75,4.428571428571429
3630,2006-08-30,4.857142857142857,4.8,4.555555555555555,0.75,4.714285714285714
4355,2006-06-11,4.142857142857143,4,3.7777777777777777,3.5,6
4490,2005-12-15,5.142857142857143,3.1,2.7777777777777777,2.625,4.571428571428571
4563,2005-11-14,4.714285714285714,4.6,4.555555555555555,1.75,4.857142857142857
4651,2006-06-04,3.142857142857143,2.6,2.3333333333333335,5,4.285714285714286
4676,2006-05-04,4.428571428571429,4.1,4.555555555555555,1.5,3
4891,2006-12-18,5,4.4,1.6666666666666667,2.25,4.857142857142857
4961,2006-04-01,3.857142857142857,3.3,4,2.25,4.571428571428571
5001,2006-03-13,2.7142857142857144,3.5,2.2222222222222223,1.875,5.428571428571429
5213,2006-01-07,4.142857142857143,3,2.6666666666666665,3.5,4
5221,2006-06-15,2.4285714285714284,2.4,2.4444444444444446,3.875,3.7142857142857144
5306,2006-11-13,3.857142857142857,2.5,4.555555555555555,3.625,3.857142857142857
5375,2005-10-27,3.4285714285714284,1.8,1.3333333333333333,3,2.857142857142857
5377,2005-10-26,4.285714285714286,2.6,3.2222222222222223,4,3.7142857142857144
5378,2005-11-10,1.2857142857142858,4,5.222222222222222,4.125,5.428571428571429
5379,2005-10-28,4.428571428571429,3.9,3.7777777777777777,2.875,5.142857142857143
5383,2005-11-21,3.6666666666666665,3.25,3.25,2.8333333333333335,3
5385,2005-10-26,2.857142857142857,2.9,2.6666666666666665,2.7142857142857144,3.142857142857143
5387,2005-11-10,5.714285714285714,3.4,4.555555555555555,1.875,4.857142857142857
5393,2005-11-09,4,4.1,3.888888888888889,2.5,2.7142857142857144
5394,2005-11-09,4.285714285714286,3.7,4.333333333333333,2.75,3.2857142857142856
5399,2005-11-22,5,2.9,3.5555555555555554,4.75,3.2857142857142856
5400,2005-11-21,4.428571428571429,3.8,4.111111111111111,2.625,4
5402,2005-11-21,5.142857142857143,4.1,4.111111111111111,2.25,5.428571428571429
5403,2005-11-08,3.857142857142857,2.7,3.7777777777777777,3.5,4.285714285714286
5408,2005-11-08,4.571428571428571,3.3,4.333333333333333,4.375,4.857142857142857
5413,2005-11-14,4.857142857142857,2.7,3.4444444444444446,4.375,3.2857142857142856
5415,2005-11-10,5.285714285714286,3.4444444444444446,4.222222222222222,2,3.5714285714285716
5421,2007-07-21,4.285714285714286,3.9,2.7777777777777777,1.375,3.5714285714285716
5477,2005-10-28,4,2.9,3.6666666666666665,2.375,4.142857142857143
5719,2005-11-23,3.857142857142857,3.4,4.222222222222222,2.25,2.857142857142857
5805,2005-10-25,4.142857142857143,2.3,1.6666666666666667,3.375,4.571428571428571
5807,2005-11-21,5.857142857142857,5.6,4.777777777777778,0.5,4
5808,2005-11-08,3.5714285714285716,3.3,4.333333333333333,3,4
